"","Var1","Freq"
"1","(Stabilisation and) Association agreement",0.25
"2","Candidacy (for membership)",8.68
"3","Commonwealth of the Independent States - Association",0.25
"4","Customs Union",4.47
"5","Eastern Partnership",0.25
"6","Eurasia (incl. Asia, multi-polar world view) – Belonging",1.24
"7","Eurasian Organization (""Big Russia"") – Belonging",0.25
"8","Europe – Belonging",2.23
"9","European Union",71.22
"10","NATO - Membership Action Plan (Formal candidacy)",0.5
"11","NATO – Membership",2.48
"12","Non-member association/partnership/cooperation (unspecified)",2.48
"13","Organization of the Black Sea Economic Cooperation - Membership",0.5
"14","Schengen Area",2.23
"15","Shanghai Cooperation Organization - Dialogue partnership",0.25
"16","Shanghai Cooperation Organization - Membership",2.73
