"","poly_ord","groups","llike","AIC","BIC","CVE"
"1",1,1,-713.256434962552,1432.5128699251,1448.96260317333,0.231337721207795
"11",2,1,-700.37166158369,1408.74332316738,1430.67630083168,0.227727596138139
"12",2,2,-682.794122426207,1383.58824485241,1432.93744459708,0.212125987226084
"13",2,3,-668.1718870289,1364.3437740578,1441.10919588283,0.19489619349347
"14",2,4,-659.952616121362,1357.90523224272,1462.08687614813,0.178771500833288
"15",2,5,-654.118723287114,1356.23744657423,1487.83531256,0.165684071768571
"16",2,6,-654.118726515326,1366.23745303065,1525.25154109679,0.166009321295593
"21",3,1,-700.355189096027,1410.71037819205,1438.12660027242,0.227806375479158
"22",3,2,-679.284872209044,1380.56974441809,1440.8854329949,0.21267113109238
"23",3,3,-653.455331805279,1340.91066361056,1434.12581868381,0.190697616640402
"24",3,4,-644.958671579302,1335.9173431586,1462.0319647283,Inf
